Station,U-Line,X-Pos,Y-Pos,Dist
Biesdorf-Süd,U5,1005,346,0
Tierpark,U5,983,346,2
Friedrichsfelde,U5,942,323,2
Lichtenberg ,U5,918,323,3
Magdalenenstr.,U5,886,323,1
Frankfurter Allee ,U5,858,323,2
Samarieterstraße,U5,804,317,2
Frankfurter Tor,U5,793,306,1
Weberwiese,U5,782,295,1
Strausberger Platz,U5,772,283,2
Schillingstr.,U5,761,271,1
Alexanderplatz ,U5,706,271,2
Uhlandstr.,U1,375,372,0
Kurfürstendamm,U1,395,372,1
Wittenbergplatz,U1,453,372,1
Nollendorfplatz,U1,479,372,2
Kurfürstenstr,U1,496,372,2
Gleisdreieck,U1,520,372,2
Möckernbrücke,U1,580,372,1
Hallesches Tor,U1,615,372,2
Prinzenstr.,U1,661,372,2
Kottbusser Tor,U1,718,372,2
Görlitzer Bahnhof,U1,738,372,1
Schlesisches Tor,U1,752,363,2
Warchauer Str.,U1,768,346,2
Ruhleben,U2,157,240,0
Olympia-Stadion,U2,183,265,2
New-Westend,U2,202,283,1
Theodor-Heuss-Platz,U2,227,304,2
Kaiserdamm Station,U2,269,304,2
Sophie-Charlotte-Platz,U2,307,304,1
Bismarckstr.,U2,332,304,2
Deutsche Oper,U2,351,304,1
Ernst-Reuter-Platz,U2,376,313,2
Berlin Zoologischer Garten,U2,402,339,2
Wittenbergplatz,U2,453,372,3
Nollendorfplatz,U2,479,372,1
Bülwstr.,U2,503,372,2
Gleisdreieck,U2,520,372,2
Mendelssohn-Bartholdy-Park,U2,531,339,1
Potsdamer Platz,U2,549,324,2
Mohrenstr.,U2,581,324,1
Stadtmitte,U2,622,324,1
Hausvogteiplatz,U2,638,324,2
Spittelmarkt,U2,668,324,1
Märkisches Museum,U2,692,318,1
Klosterstr.,U2,706,304,2
Alexanderplatz ,U2,706,271,2
Rosa-Luxemburg-Platz,U2,678,225,2
Senefelderplatz,U2,678,203,1
Eberswalder str.,U2,678,186,2
Schönhauser Allee,U2,678,163,2
Vinetastr.,U2,678,115,3
Pankow,U2,678,82,1
Nollendorfplatz,U3,479,372,0
Wittenbergplatz,U3,453,372,2
Augsburger str.,U3,412,395,2
Spichernstr.,U3,395,410,1
Hohenzollernplatz,U3,375,429,2
Fehrbelliner Platz,U3,361,443,2
Heidelberger Platz,U3,321,484,2
Rüdesheimer Platz,U3,307,498,1
Breitenbachplatz,U3,293,512,2
Podbielskiallee,U3,282,524,1
Dahlern-Dorf,U3,268,538,2
Freie Universität,U3,254,552,2
Oskar-Helene-Heim,U3,241,565,1
Onkel Toms Hütte,U3,229,577,2
Krumme Lanke,U3,218,589,2
Nollendorfplatz,U4,479,372,0
Viktoria-Luise-Platz,U4,457,412,2
Bayerischer Platz,U4,457,447,1
Rathaus Schöneberg,U4,457,466,2
Innsbrucker Platz,U4,457,482,1
Otisstr.,U6,375,40,0
Scharnweberstr.,U6,388,54,2
Kurt-Schumacher-Platz,U6,402,68,1
Afrikanische str.,U6,417,83,2
Rehberge,U6,428,96,1
Seestr.,U6,447,113,2
Leopoldplatz,U6,468,135,1
Wedding,U6,496,163,1
Reinickendorfer str.,U6,510,179,1
Schwartzkopffstr.,U6,528,194,2
Naturkundenmuseum,U6,550,216,1
Oranienburger Tor,U6,572,235,1
Friedrichstr.,U6,587,256,2
Französische str.,U6,615,306,1
Stadtmitte,U6,622,324,1
Kochstr.Checkpoint Charlie,U6,615,353,1
Hallesches Tor,U6,615,372,2
Mehringdamm,U6,615,405,2
Platz der Luftbrücke,U6,615,436,2
Paradestr.,U6,615,459,1
Berlin-Tempelhof,U6,615,484,2
Alt-Tempelhof,U6,615,498,1
Kaiserin-Augusta-str.,U6,615,513,1
Ullsteinstr.,U6,615,528,1
Westphalweg,U6,615,543,2
Alt-Mariendorf,U6,615,558,1
Berlin Hbf,U55,517,256,0
Bundestag,U55,527,276,1
Brandenburger Tor,U55,549,297,1
Altstadt Spandau,U7,97,179,0
Zitadelle,U7,122,164,1
Paulsternstr.,U7,190,164,2
Rohrdamm,U7,234,164,2
Siemensdamm,U7,261,165,1
Halemweg,U7,293,165,2
Jakob-Kaiser-Platz,U7,307,172,1
Jungfernheide,U7,320,186,1
Mierendorffplatz,U7,332,232,2
Richard-Wagner-Platz,U7,332,271,1
Bismarckstr.,U7,332,304,2
Wilmersdorfer str.,U7,332,232,3
Adenauerplatz,U7,332,271,1
Konstanzer str.,U7,328,332,1
Fehrbelliner Platz,U7,361,443,1
Blissestr.,U7,376,447,2
Berliner str.,U7,332,447,1
Bayerischer Platz,U7,457,447,1
Eisenacher str.,U7,395,447,2
Kleistpark,U7,479,447,1
Yorckstr.,U7,504,445,1
Möckernbrücke,U7,580,372,1
Mehringdamm,U7,615,405,2
Gneissenaustr.,U7,550,429,2
Südstern,U7,685,417,1
Hermannplatz,U7,718,417,2
Rathaus Neukölln,U7,759,436,2
Karl-Marx-str.,U7,772,452,1
Berlin-Neukölln,U7,772,484,2
Grenzallee,U7,772,503,1
Blaschkoallee,U7,772,521,2
Parchimer Allee,U7,772,543,1
Britz-Süd,U7,772,565,2
Johannisthaler Chaussee,U7,772,584,1
Lindauer Allee,U8,472,40,0
Paracelsus-Bad,U8,483,52,1
Residenzstr.,U8,493,63,1
Franz-Neumann-Platz,U8,504,75,2
Osloer str.,U8,517,88,2
Pankstr.,U8,555,124,1
Berlin-Gesundbrunnen,U8,594,163,2
Voltastr.,U8,609,179,1
Bernauer str.,U8,624,194,2
Rosenthaler Platz,U8,645,216,1
Weinmeisterstr.,U8,661,233,2
Alexanderplatz ,U8,706,271,2
Jannowitzbrücke,U8,729,305,1
Heinrich-Heine-str.,U8,718,332,2
Moritzplatz,U8,718,353,1
Kottbusser Tor,U8,718,372,2
Schönleinstr.,U8,718,395,2
Hermannplatz,U8,718,417,2
Boddinstr.,U8,718,438,1
Leinestr.,U8,CERRADA en u8,CERRADA en u8,2
Hermannstr.,U8,cerrada en u8,cerrada en u8,1
Nauener Platz,U9,490,113,0
Leopoldplatz,U9,468,135,2
Amrumer str.,U9,459,143,1
Westhafen,U9,446,201,2
Birkenstr.,U9,446,165,1
Turmstr.,U9,446,232,1
Hansaplatz,U9,446,307,2
Berlin Zoologischer Garten,U9,402,339,4
Kurfürstendamm,U9,395,372,1
Spichernstr.,U9,395,410,1
Güntzelstr.,U9,395,429,1
Berliner str.,U9,395,447,2
Bundesplatz,U9,395,484,1
Friedrich-Wilhelm-Platz,U9,395,512,2
Walther-Schreiber-Platz,U9,395,531,1
Schlossstr.,U9,395,552,1
Rathaus Steglitz,U9,395,577,1
Botanischer Garten,S1,375,596,2
Rathaus Steglitz,S1,395,577,2
Berlin Feuerbachstr.,S1,428,545,2
Friedenau,S1,454,520,2
Schöneberg,S1,490,484,2
Julius-Leber-Brücke,S1,513,460,2
Yorckstr.,S1,504,445,2
Anhalter Bhf,S1,549,346,3
Potsdamer Platz,S1,549,324,2
Brandenburger Tor,S1,549,297,2
Friedrichstr.,S1,587,256,4
